URL,Index Status,Coverage State,Last Crawl Date,Clicks (30d),Impressions (30d),CTR (%),Avg Position,HTTP Status,In Sitemap,Sitemap Last Modified,Accessible,Action Needed
https://www.icebergdata.co/,PASS,Submitted and indexed,2025-12-12,0,0,0.00,,200,Yes,2025-01-25,Yes,Optimize Content for SEO
https://www.icebergdata.co/press,PASS,Submitted and indexed,2025-12-12,0,0,0.00,,200,Yes,2025-12-11,Yes,Optimize Content for SEO
https://www.icebergdata.co/services,PASS,Submitted and indexed,2025-10-25,0,0,0.00,,200,Yes,2025-12-11,Yes,Optimize Content for SEO; Request Recrawl
https://www.icebergdata.co/services/web-scraping,PASS,Submitted and indexed,2025-12-06,0,0,0.00,,200,Yes,2025-12-11,Yes,Optimize Content for SEO
https://www.icebergdata.co/services/data-integration,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-11,Yes,Optimize Content for SEO
https://www.icebergdata.co/services/custom-solutions,PASS,Submitted and indexed,2025-11-19,0,0,0.00,,200,Yes,2025-12-11,Yes,Optimize Content for SEO
https://www.icebergdata.co/car-rental,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-07-29,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-studies,PASS,Submitted and indexed,2025-11-15,0,0,0.00,,200,Yes,2025-12-13,Yes,Optimize Content for SEO
https://www.icebergdata.co/privacy,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-07-30,Yes,Optimize Content for SEO
https://www.icebergdata.co/terms,PASS,Submitted and indexed,2025-12-07,0,0,0.00,,200,Yes,2025-07-30,Yes,Optimize Content for SEO
https://www.icebergdata.co/cookies,PASS,Submitted and indexed,2025-12-01,0,0,0.00,,200,Yes,2025-07-30,Yes,Optimize Content for SEO
https://www.icebergdata.co/refund,NEUTRAL,Duplicate without user-selected canonical,2025-12-05,0,0,0.00,,200,Yes,2025-07-30,Yes,No Action
https://www.icebergdata.co/refund-policy,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-07-30,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/home-services/home-services-decoding-local-service-narratives-hyper-local-sentiment,NEUTRAL,URL is unknown to Google,,0,0,0.00,,200,Yes,2025-12-13,Yes,No Action
https://www.icebergdata.co/case-study/airlines/airlines-slashing-aircraft-ground-aog-incidents-through,NEUTRAL,URL is unknown to Google,,0,0,0.00,,200,Yes,2025-12-12,Yes,No Action
https://www.icebergdata.co/case-study/airlines/airlines-decoding-passenger-priorities-review-scraping-uncovered,NEUTRAL,URL is unknown to Google,,0,0,0.00,,200,Yes,2025-12-11,Yes,No Action
https://www.icebergdata.co/case-study/e-commerce/e-commerce-quantifying-authenticity-tracking-greenwashing-accusations-validate,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-10,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/car-rental/car-rental-frustration-feature-analyzing-100000-customer-reviews,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-10,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/manufacturing/manufacturing-workshop-wishlist-uncovering-maker-influencers-boost,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-10,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/retail/retail-deconstructing-competitor-roi-pinpointing-high-value-influencers,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-08,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/car-rental/car-rental-boosting-ancillary-revenue-through-granular-competitor,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-06,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/airlines/airlines-booking-baggage-claim-lifting-customer-satisfaction,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-06,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/consumer-electronics/consumer-electronics-maximizing-refurbished-electronics-margins-real-time-condition-based,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-06,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/e-commerce/e-commerce-hack-feature-scraping-user-reviews-uncovered-niche-smart,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-05,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/lead-generation/lead-generation-data-deal-pinpointing-logistics-bottlenecks-generate,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-05,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/manufacturing/manufacturing-optimizing-just-in-time-inventory-perishable-adhesives-real-time,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-05,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/food-delivery/food-delivery-maximizing-order-volume-through-granular-fee,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-05,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/e-commerce/e-commerce-boosting-average-order-value-through-competitor-kit-bundle,PASS,Submitted and indexed,2025-12-11,0,0,0.00,,200,Yes,2025-12-03,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/e-commerce/e-commerce-mapping-unboxing-journey-dtc-brand-reversed-dip-loyalty,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-12-02,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/hotels/hotels-automating-resort-fee-disclosure-audits-ensure,NEUTRAL,Excluded by ‘noindex’ tag,2025-12-02,0,0,0.00,,200,Yes,2025-12-02,Yes,No Action
https://www.icebergdata.co/case-study/car-rental/car-rental-queue-keys-halving-customer-wait-times-car-rental,NEUTRAL,Discovered - currently not indexed,,0,0,0.00,,200,Yes,2025-11-29,Yes,No Action
https://www.icebergdata.co/case-study/healthcare/healthcare-winning-bid-securing-contract-win-rate-increase,NEUTRAL,Discovered - currently not indexed,,0,0,0.00,,200,Yes,2025-11-26,Yes,No Action
https://www.icebergdata.co/case-study/e-commerce/e-commerce-unlocking-niche-markets-data-scraping-identified,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-23,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/healthcare/healthcare-reducing-clinic-congestion-patient-flow-public,NEUTRAL,Discovered - currently not indexed,,0,0,0.00,,200,Yes,2025-11-23,Yes,No Action
https://www.icebergdata.co/case-study/manufacturing/manufacturing-pinpointing-niche-technical-influencers-cnc-manufacturer,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-21,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/e-commerce/e-commerce-reversing-sales-dip-pinpointing-greenwashing-accusations,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-18,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/car-rental/car-rental-closing-weekend-profit-gap-hyper-local-demand-sensing,NEUTRAL,Discovered - currently not indexed,,0,0,0.00,,200,Yes,2025-11-18,Yes,No Action
https://www.icebergdata.co/case-study/airlines/airlines-uncovering-latent-demand-identifying-high-yield-corporate,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-18,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/market-intelligence/market-intelligence-increasing-station-utilization-through-geospatial-expansion,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-18,Yes,Optimize Content for SEO
https://www.icebergdata.co/case-study/retail/retail-slashing-last-mile-delivery-costs-hyper-local-event,PASS,Submitted and indexed,2025-12-02,0,0,0.00,,200,Yes,2025-11-17,Yes,Optimize Content for SEO
